"","lfcs"
"1",6.35067744442914
"2",5.88616237036672
"3",5.76080746133398
"4",4.25099457409016
"5",3.7505819250357
"6",3.72829958359482
"7",3.57351229530734
"8",3.24925143422377
"9",2.98322017985667
"10",2.85500247509737
"11",2.78296946962079
"12",2.6125042026266
"13",2.5386011903212
"14",2.39822972458472
"15",2.31811167205415
"16",2.27932080777949
"17",2.09515756631888
"18",2.0542451135942
"19",1.90616060780651
"20",1.89672253447572
"21",1.75017589996763
"22",1.71982802971498
"23",1.64330172282637
"24",1.61271455622513
"25",1.60077599842456
"26",1.57359439043742
"27",1.54246374997828
"28",1.53821567044491
"29",1.49945926925126
"30",1.49275297457731
"31",1.43557626251233
"32",1.4230147296035
"33",1.42064880669673
"34",1.40230682089993
"35",1.3651910082926
"36",1.34788691094454
"37",1.26988370648462
"38",1.19692494865591
"39",1.13942819651194
"40",1.0674072695578
"41",1.06650346123216
"42",1.05273780861358
"43",1.02338264228849
"44",0.983112732915523
"45",0.946624246552635
"46",0.779412200927754
"47",0.766264955446876
"48",0.750188323057169
"49",0.693630073270394
"50",0.66994310967514
"51",0.649061218827872
"52",0.59144801945845
"53",0.568481639554048
"54",0.542018433455126
"55",0.502722267317229
"56",0.478863944026624
"57",0.471837683564924
"58",0.453260612437165
"59",0.373771160815594
"60",0.32490288920928
"61",0.318160801613712
"62",0.284666041465309
"63",0.270691673984618
"64",0.0923744390032038
"65",0.0727809996109086
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
