"","n","method","f05"
"1",10,"ALDEx2-SM Unif",0.340860227340065
"2",10,"ALDEx2-SM left-skew",0.431953339954445
"3",10,"ALDEx2-SM right-skew",0.559582117320836
"4",10,"ALDEx2",0.663544633276386
"5",10,"ALDEx2-GTT",0.226880093980032
"6",10,"ALDEx2-CTT",0.15660434062589
"7",20,"ALDEx2-SM Unif",0.608523742227562
"8",20,"ALDEx2-SM left-skew",0.453677753598087
"9",20,"ALDEx2-SM right-skew",0.811818169126068
"10",20,"ALDEx2",0.800440079544296
"11",20,"ALDEx2-GTT",0.478972419852761
"12",20,"ALDEx2-CTT",0.431280687835852
"13",40,"ALDEx2-SM Unif",0.696918356761379
"14",40,"ALDEx2-SM left-skew",0.488735681244809
"15",40,"ALDEx2-SM right-skew",0.881726357965456
"16",40,"ALDEx2",0.762495843990855
"17",40,"ALDEx2-GTT",0.618810288278371
"18",40,"ALDEx2-CTT",0.589017764170359
"19",60,"ALDEx2-SM Unif",0.712149362269146
"20",60,"ALDEx2-SM left-skew",0.5118935738162
"21",60,"ALDEx2-SM right-skew",0.898148314508851
"22",60,"ALDEx2",0.714107832023392
"23",60,"ALDEx2-GTT",0.681026241708645
"24",60,"ALDEx2-CTT",0.660676649721247
"25",80,"ALDEx2-SM Unif",0.708185209200059
"26",80,"ALDEx2-SM left-skew",0.521559924260916
"27",80,"ALDEx2-SM right-skew",0.908534864232053
"28",80,"ALDEx2",0.681837345701568
"29",80,"ALDEx2-GTT",0.712869939798133
"30",80,"ALDEx2-CTT",0.696630661644979
"31",100,"ALDEx2-SM Unif",0.710327220672459
"32",100,"ALDEx2-SM left-skew",0.534758545145402
"33",100,"ALDEx2-SM right-skew",0.910803410992467
"34",100,"ALDEx2",0.668386201410794
"35",100,"ALDEx2-GTT",0.734632985218871
"36",100,"ALDEx2-CTT",0.72362169830881
"37",130,"ALDEx2-SM Unif",0.712845627998958
"38",130,"ALDEx2-SM left-skew",0.541106625356483
"39",130,"ALDEx2-SM right-skew",0.917618178292913
"40",130,"ALDEx2",0.647669416341356
"41",130,"ALDEx2-GTT",0.750498039449419
"42",130,"ALDEx2-CTT",0.740176043162054
"43",160,"ALDEx2-SM Unif",0.717752100043656
"44",160,"ALDEx2-SM left-skew",0.550174485057804
"45",160,"ALDEx2-SM right-skew",0.920056155710675
"46",160,"ALDEx2",0.644939839687171
"47",160,"ALDEx2-GTT",0.762191092943717
"48",160,"ALDEx2-CTT",0.755010636072288
"49",200,"ALDEx2-SM Unif",0.703995485555454
"50",200,"ALDEx2-SM left-skew",0.554252763777048
"51",200,"ALDEx2-SM right-skew",0.918933663040781
"52",200,"ALDEx2",0.638066919572713
"53",200,"ALDEx2-GTT",0.771298442630978
"54",200,"ALDEx2-CTT",0.764410702030769
