"","colour","linetype","x","y","ymin","ymax","se","flipped_aes","PANEL","group","fill","linewidth","weight","alpha"
"1","#000000","dotted",10,0.697990036174398,0.577734511559394,0.818245560789402,0.0366308288766902,FALSE,"1",1,"grey60",1.5,1,0
"2","#000000","dotted",12.4050632911392,0.710895520890757,0.605384266691345,0.816406775090168,0.0321396019810085,FALSE,"1",1,"grey60",1.5,1,0
"3","#000000","dotted",14.8101265822785,0.722547893863905,0.628291462459628,0.816804325268182,0.028711289733684,FALSE,"1",1,"grey60",1.5,1,0
"4","#000000","dotted",17.2151898734177,0.732966839815765,0.646289951026888,0.819643728604643,0.0264024982715276,FALSE,"1",1,"grey60",1.5,1,0
"5","#000000","dotted",19.620253164557,0.742172043468257,0.659510398774529,0.824833688161986,0.0251794216617966,FALSE,"1",1,"grey60",1.5,1,0
"6","#000000","dotted",22.0253164556962,0.750020810793768,0.668357649816842,0.831683971770694,0.0248752752511975,FALSE,"1",1,"grey60",1.5,1,0
"7","#000000","dotted",24.4303797468354,0.7563162973903,0.673513828658799,0.839118766121801,0.0252223178301505,FALSE,"1",1,"grey60",1.5,1,0
"8","#000000","dotted",26.8354430379747,0.761201621698742,0.675915531545315,0.846487711852169,0.0259788494871559,FALSE,"1",1,"grey60",1.5,1,0
"9","#000000","dotted",29.2405063291139,0.764826149629398,0.676351700262208,0.853300598996588,0.0269500501129124,FALSE,"1",1,"grey60",1.5,1,0
"10","#000000","dotted",31.6455696202532,0.767339247092572,0.675445013424317,0.859233480760828,0.02799174473716,FALSE,"1",1,"grey60",1.5,1,0
"11","#000000","dotted",34.0506329113924,0.768890279998569,0.673682870041519,0.86409768995562,0.0290009656778337,FALSE,"1",1,"grey60",1.5,1,0
"12","#000000","dotted",36.4556962025316,0.769628614257693,0.671456213189633,0.867801015325752,0.0299041265293287,FALSE,"1",1,"grey60",1.5,1,0
"13","#000000","dotted",38.8607594936709,0.769703615780247,0.669089334592148,0.870317896968347,0.0306479434400357,FALSE,"1",1,"grey60",1.5,1,0
"14","#000000","dotted",41.2658227848101,0.768871478919574,0.666719228825022,0.871023729014126,0.031116421507969,FALSE,"1",1,"grey60",1.5,1,0
"15","#000000","dotted",43.6708860759494,0.765365890935675,0.663677334573647,0.867054447297703,0.0309751765562575,FALSE,"1",1,"grey60",1.5,1,0
"16","#000000","dotted",46.0759493670886,0.759541798957189,0.659555298752587,0.859528299161792,0.0304567161525398,FALSE,"1",1,"grey60",1.5,1,0
"17","#000000","dotted",48.4810126582278,0.752092977857848,0.653987029064684,0.850198926651011,0.0298838846159699,FALSE,"1",1,"grey60",1.5,1,0
"18","#000000","dotted",50.8860759493671,0.74371320251138,0.646810483774021,0.840615921248739,0.0295173707745928,FALSE,"1",1,"grey60",1.5,1,0
"19","#000000","dotted",53.2911392405063,0.735096247791517,0.638310202420985,0.831882293162049,0.0294818311006495,FALSE,"1",1,"grey60",1.5,1,0
"20","#000000","dotted",55.6962025316456,0.726935888571988,0.62934653241097,0.824525244733006,0.0297265262212711,FALSE,"1",1,"grey60",1.5,1,0
"21","#000000","dotted",58.1012658227848,0.719925899726524,0.621287640529015,0.818564158924033,0.0300460307742713,FALSE,"1",1,"grey60",1.5,1,0
"22","#000000","dotted",60.506329113924,0.714709273577768,0.615735825647015,0.813682721508521,0.0301481320387927,FALSE,"1",1,"grey60",1.5,1,0
"23","#000000","dotted",62.9113924050633,0.710285517361149,0.612559360554925,0.808011674167374,0.0297681968309235,FALSE,"1",1,"grey60",1.5,1,0
"24","#000000","dotted",65.3164556962025,0.706019257463854,0.610556380874268,0.801482134053439,0.029078782930139,FALSE,"1",1,"grey60",1.5,1,0
"25","#000000","dotted",67.7215189873418,0.701917957139389,0.608800902563098,0.795035011715681,0.0283642261143983,FALSE,"1",1,"grey60",1.5,1,0
"26","#000000","dotted",70.126582278481,0.697989079641266,0.606525060359766,0.789453098922765,0.0278606978714796,FALSE,"1",1,"grey60",1.5,1,0
"27","#000000","dotted",72.5316455696203,0.694240088222991,0.603310687319379,0.785169489126603,0.0276978486853201,FALSE,"1",1,"grey60",1.5,1,0
"28","#000000","dotted",74.9367088607595,0.690678446138075,0.599212633049482,0.782144259226668,0.0278612442799784,FALSE,"1",1,"grey60",1.5,1,0
"29","#000000","dotted",77.3417721518987,0.687311616640025,0.594732828306382,0.779890404973668,0.0282002657584172,FALSE,"1",1,"grey60",1.5,1,0
"30","#000000","dotted",79.746835443038,0.684147062982351,0.590649317095413,0.77764480886929,0.0284801878408952,FALSE,"1",1,"grey60",1.5,1,0
"31","#000000","dotted",82.1518987341772,0.68124891632741,0.587488197721101,0.77500963493372,0.0285602915094241,FALSE,"1",1,"grey60",1.5,1,0
"32","#000000","dotted",84.5569620253165,0.678669555156079,0.584583504805522,0.772755605506637,0.0286593902534513,FALSE,"1",1,"grey60",1.5,1,0
"33","#000000","dotted",86.9620253164557,0.676351826113009,0.581114071987609,0.771589580238408,0.0290102087628541,FALSE,"1",1,"grey60",1.5,1,0
"34","#000000","dotted",89.3670886075949,0.674237670511117,0.576617622940291,0.771857718081943,0.0297358750789161,FALSE,"1",1,"grey60",1.5,1,0
"35","#000000","dotted",91.7721518987342,0.672269029663324,0.571177319758098,0.77336073956855,0.0307933721818243,FALSE,"1",1,"grey60",1.5,1,0
"36","#000000","dotted",94.1772151898734,0.670387844882547,0.565392744330519,0.775382945434575,0.0319823773047043,FALSE,"1",1,"grey60",1.5,1,0
"37","#000000","dotted",96.5822784810127,0.668536057481705,0.560190686413774,0.776881428549637,0.0330028974542074,FALSE,"1",1,"grey60",1.5,1,0
"38","#000000","dotted",98.9873417721519,0.666655608773718,0.556594940476786,0.776716277070649,0.0335253911980028,FALSE,"1",1,"grey60",1.5,1,0
"39","#000000","dotted",101.392405063291,0.664728621848289,0.555292645660489,0.774164598036089,0.0333351048072239,FALSE,"1",1,"grey60",1.5,1,0
"40","#000000","dotted",103.79746835443,0.662897372531092,0.555433541979432,0.770361203082752,0.0327343729111331,FALSE,"1",1,"grey60",1.5,1,0
"41","#000000","dotted",106.20253164557,0.661176454165117,0.556188219449714,0.766164688880521,0.0319802859139987,FALSE,"1",1,"grey60",1.5,1,0
"42","#000000","dotted",108.607594936709,0.659560771873146,0.556788954019209,0.762332589727084,0.03130514697937,FALSE,"1",1,"grey60",1.5,1,0
"43","#000000","dotted",111.012658227848,0.658045230777961,0.556564015300047,0.759526446255875,0.0309120188055477,FALSE,"1",1,"grey60",1.5,1,0
"44","#000000","dotted",113.417721518987,0.656624736002343,0.555071302210198,0.758178169794489,0.0309340171022482,FALSE,"1",1,"grey60",1.5,1,0
"45","#000000","dotted",115.822784810127,0.655294192669075,0.552206364206166,0.758382021131984,0.0314014064283851,FALSE,"1",1,"grey60",1.5,1,0
"46","#000000","dotted",118.227848101266,0.654048505900938,0.54822648352593,0.759870528275945,0.0322342645413942,FALSE,"1",1,"grey60",1.5,1,0
"47","#000000","dotted",120.632911392405,0.652882580820714,0.543676628416915,0.762088533224512,0.0332650376573253,FALSE,"1",1,"grey60",1.5,1,0
"48","#000000","dotted",123.037974683544,0.651791322551185,0.539262791695794,0.764319853406575,0.0342771225746653,FALSE,"1",1,"grey60",1.5,1,0
"49","#000000","dotted",125.443037974684,0.650769636215132,0.535730349344573,0.765808923085692,0.035041919653529,FALSE,"1",1,"grey60",1.5,1,0
"50","#000000","dotted",127.848101265823,0.649812426935339,0.533771832219378,0.7658530216513,0.0353469263170915,FALSE,"1",1,"grey60",1.5,1,0
"51","#000000","dotted",130.253164556962,0.648914778870521,0.533942239045263,0.76388731869578,0.0350215879506632,FALSE,"1",1,"grey60",1.5,1,0
