"","colour","linetype","x","y","ymin","ymax","se","flipped_aes","PANEL","group","fill","linewidth","weight","alpha"
"1","#000000","dotted",10,0.0273174843033601,0.0160205600025865,0.0386144086041338,0.00344113671466975,FALSE,"1",1,"grey60",1.5,1,0
"2","#000000","dotted",12.4050632911392,0.0461728922768339,0.0362610594908853,0.0560847250627824,0.00301922636651279,FALSE,"1",1,"grey60",1.5,1,0
"3","#000000","dotted",14.8101265822785,0.0644381960843372,0.0555836526124748,0.0732927395561997,0.00269716728389325,FALSE,"1",1,"grey60",1.5,1,0
"4","#000000","dotted",17.2151898734177,0.0821131298672971,0.0739706162122334,0.0902556435223609,0.00248027710393889,FALSE,"1",1,"grey60",1.5,1,0
"5","#000000","dotted",19.620253164557,0.0991974277671404,0.0914321101597197,0.106962745374561,0.00236538006350426,FALSE,"1",1,"grey60",1.5,1,0
"6","#000000","dotted",22.0253164556962,0.115681404199922,0.108009885151864,0.12335292324798,0.00233680824538704,FALSE,"1",1,"grey60",1.5,1,0
"7","#000000","dotted",24.4303797468354,0.131553658520905,0.123775111762478,0.139332205279332,0.00236940977247803,FALSE,"1",1,"grey60",1.5,1,0
"8","#000000","dotted",26.8354430379747,0.14682359672277,0.138811736083047,0.154835457362493,0.00244047911326459,FALSE,"1",1,"grey60",1.5,1,0
"9","#000000","dotted",29.2405063291139,0.161500997697607,0.153189619403315,0.169812375991898,0.00253171467175689,FALSE,"1",1,"grey60",1.5,1,0
"10","#000000","dotted",31.6455696202532,0.175595640337506,0.166963004084399,0.184228276590613,0.00262957250699833,FALSE,"1",1,"grey60",1.5,1,0
"11","#000000","dotted",34.0506329113924,0.189117303534559,0.180173424185973,0.198061182883145,0.00272437973191417,FALSE,"1",1,"grey60",1.5,1,0
"12","#000000","dotted",36.4556962025316,0.202075766180856,0.192853352600759,0.211298179760953,0.00280922356593698,FALSE,"1",1,"grey60",1.5,1,0
"13","#000000","dotted",38.8607594936709,0.214480807168487,0.205029000926756,0.223932613410218,0.00287909847073485,FALSE,"1",1,"grey60",1.5,1,0
"14","#000000","dotted",41.2658227848101,0.226306672528791,0.216710387949214,0.235902957108367,0.00292310776915967,FALSE,"1",1,"grey60",1.5,1,0
"15","#000000","dotted",43.6708860759494,0.237392398305835,0.227839673579428,0.246945123032242,0.00290983907707705,FALSE,"1",1,"grey60",1.5,1,0
"16","#000000","dotted",46.0759493670886,0.247772259421643,0.238379427553611,0.257165091289675,0.00286113438802016,FALSE,"1",1,"grey60",1.5,1,0
"17","#000000","dotted",48.4810126582278,0.257511382194545,0.248295211207639,0.26672755318145,0.00280732202034354,FALSE,"1",1,"grey60",1.5,1,0
"18","#000000","dotted",50.8860759493671,0.266674892942869,0.257571754591265,0.275778031294473,0.00277289134337899,FALSE,"1",1,"grey60",1.5,1,0
"19","#000000","dotted",53.2911392405063,0.275327917984947,0.266235740046157,0.284420095923737,0.00276955271085049,FALSE,"1",1,"grey60",1.5,1,0
"20","#000000","dotted",55.6962025316456,0.283535583639108,0.274367941880929,0.292703225397287,0.00279253961530482,FALSE,"1",1,"grey60",1.5,1,0
"21","#000000","dotted",58.1012658227848,0.291363016223682,0.282096839464803,0.300629192982561,0.00282255419268538,FALSE,"1",1,"grey60",1.5,1,0
"22","#000000","dotted",60.506329113924,0.298860620914437,0.289562956190593,0.308158285638281,0.00283214568762919,FALSE,"1",1,"grey60",1.5,1,0
"23","#000000","dotted",62.9113924050633,0.305668367654609,0.296487874706947,0.314848860602271,0.00279645419406797,FALSE,"1",1,"grey60",1.5,1,0
"24","#000000","dotted",65.3164556962025,0.311708203114803,0.302740324975156,0.320676081254449,0.00273168996245369,FALSE,"1",1,"grey60",1.5,1,0
"25","#000000","dotted",67.7215189873418,0.317116489926977,0.308368980654308,0.325863999199646,0.00266456378025235,FALSE,"1",1,"grey60",1.5,1,0
"26","#000000","dotted",70.126582278481,0.322029590723093,0.313437369239917,0.330621812206268,0.00261726183332089,FALSE,"1",1,"grey60",1.5,1,0
"27","#000000","dotted",72.5316455696203,0.326583868135109,0.318041869237251,0.335125867032968,0.00260196361783868,FALSE,"1",1,"grey60",1.5,1,0
"28","#000000","dotted",74.9367088607595,0.330915684794987,0.322323294799778,0.339508074790196,0.00261731316348196,FALSE,"1",1,"grey60",1.5,1,0
"29","#000000","dotted",77.3417721518987,0.335161403334686,0.326464459331399,0.343858347337972,0.00264916118036535,FALSE,"1",1,"grey60",1.5,1,0
"30","#000000","dotted",79.746835443038,0.339457386386165,0.330674114590883,0.348240658181446,0.00267545734086187,FALSE,"1",1,"grey60",1.5,1,0
"31","#000000","dotted",82.1518987341772,0.343610290823346,0.334802315107697,0.352418266538996,0.00268298235962905,FALSE,"1",1,"grey60",1.5,1,0
"32","#000000","dotted",84.5569620253165,0.347243984911619,0.338405447206413,0.356082522616825,0.00269229179479356,FALSE,"1",1,"grey60",1.5,1,0
"33","#000000","dotted",86.9620253164557,0.350451783019955,0.341505053109834,0.359398512930076,0.0027252480365689,FALSE,"1",1,"grey60",1.5,1,0
"34","#000000","dotted",89.3670886075949,0.353331491716485,0.344160966776561,0.362502016656409,0.00279341785634574,FALSE,"1",1,"grey60",1.5,1,0
"35","#000000","dotted",91.7721518987342,0.355980917569343,0.346484261196246,0.365477573942439,0.0028927601922433,FALSE,"1",1,"grey60",1.5,1,0
"36","#000000","dotted",94.1772151898734,0.35849786714666,0.34863452235077,0.36836121194255,0.00300445652311384,FALSE,"1",1,"grey60",1.5,1,0
"37","#000000","dotted",96.5822784810127,0.36098014701657,0.350802074456393,0.371158219576747,0.00310032520701223,FALSE,"1",1,"grey60",1.5,1,0
"38","#000000","dotted",98.9873417721519,0.363525563747204,0.35318635444914,0.373864773045268,0.00314940879207148,FALSE,"1",1,"grey60",1.5,1,0
"39","#000000","dotted",101.392405063291,0.36616318937711,0.355882664280797,0.376443714473423,0.00313153309813575,FALSE,"1",1,"grey60",1.5,1,0
"40","#000000","dotted",103.79746835443,0.368649978586541,0.358554718824464,0.378745238348618,0.0030750997427708,FALSE,"1",1,"grey60",1.5,1,0
"41","#000000","dotted",106.20253164557,0.37096375346362,0.361101053651292,0.380826453275948,0.00300426005577847,FALSE,"1",1,"grey60",1.5,1,0
"42","#000000","dotted",108.607594936709,0.373116145281017,0.363461657886232,0.382770632675803,0.00294083682876729,FALSE,"1",1,"grey60",1.5,1,0
"43","#000000","dotted",111.012658227848,0.375118785311403,0.365585538395099,0.384652032227706,0.00290390597478458,FALSE,"1",1,"grey60",1.5,1,0
"44","#000000","dotted",113.417721518987,0.376983304827446,0.367443273650447,0.386523336004445,0.00290597251678643,FALSE,"1",1,"grey60",1.5,1,0
"45","#000000","dotted",115.822784810127,0.378721335101817,0.369037161354249,0.388405508849385,0.00294987953771759,FALSE,"1",1,"grey60",1.5,1,0
"46","#000000","dotted",118.227848101266,0.380344507407186,0.370403480747891,0.390285534066481,0.00302811906214751,FALSE,"1",1,"grey60",1.5,1,0
"47","#000000","dotted",120.632911392405,0.381864453016223,0.371605536584323,0.392123369448123,0.00312495091997047,FALSE,"1",1,"grey60",1.5,1,0
"48","#000000","dotted",123.037974683544,0.383292803201598,0.372721760425639,0.393863845977557,0.00322002718971981,FALSE,"1",1,"grey60",1.5,1,0
"49","#000000","dotted",125.443037974684,0.384641189235981,0.373834283527887,0.395448094944074,0.00329187299250548,FALSE,"1",1,"grey60",1.5,1,0
"50","#000000","dotted",127.848101265823,0.385921242392041,0.375020272823119,0.396822211960963,0.00332052562364678,FALSE,"1",1,"grey60",1.5,1,0
"51","#000000","dotted",130.253164556962,0.387144206737707,0.376343571313831,0.397944842161584,0.00328996301199592,FALSE,"1",1,"grey60",1.5,1,0
"52","#000000","dotted",132.658227848101,0.388280302604997,0.377698989459989,0.398861615750006,0.00322315562920191,FALSE,"1",1,"grey60",1.5,1,0
"53","#000000","dotted",135.063291139241,0.389313682715657,0.378981467615009,0.399645897816306,0.00314727830160562,FALSE,"1",1,"grey60",1.5,1,0
"54","#000000","dotted",137.46835443038,0.390256551855373,0.380174666772715,0.400338436938032,0.00307102570463722,FALSE,"1",1,"grey60",1.5,1,0
"55","#000000","dotted",139.873417721519,0.391121114809832,0.381265968518416,0.400976261101249,0.00300195919074298,FALSE,"1",1,"grey60",1.5,1,0
"56","#000000","dotted",142.278481012658,0.39191957636472,0.382248937597056,0.401590215132385,0.0029457566707285,FALSE,"1",1,"grey60",1.5,1,0
"57","#000000","dotted",144.683544303797,0.392664141305724,0.383125552849071,0.402202729762376,0.00290553305221892,FALSE,"1",1,"grey60",1.5,1,0
"58","#000000","dotted",147.088607594937,0.393367014418529,0.383907555459738,0.40282647337732,0.00288142955173896,FALSE,"1",1,"grey60",1.5,1,0
"59","#000000","dotted",149.493670886076,0.394040400488822,0.384616355072067,0.403464445905576,0.00287064229350351,FALSE,"1",1,"grey60",1.5,1,0
"60","#000000","dotted",151.898734177215,0.394696504302289,0.385281344849723,0.404111663754856,0.00286793555520936,FALSE,"1",1,"grey60",1.5,1,0
"61","#000000","dotted",154.303797468354,0.395347530644617,0.385936951627255,0.40475810966198,0.00286654031670618,FALSE,"1",1,"grey60",1.5,1,0
"62","#000000","dotted",156.708860759494,0.396005684301493,0.386618949729371,0.405392418873615,0.00285927710118203,FALSE,"1",1,"grey60",1.5,1,0
"63","#000000","dotted",159.113924050633,0.396683170058602,0.38736036987152,0.406005970245683,0.00283980215792899,FALSE,"1",1,"grey60",1.5,1,0
"64","#000000","dotted",161.518987341772,0.397373469953943,0.388158264261049,0.406588675646837,0.002807027983792,FALSE,"1",1,"grey60",1.5,1,0
"65","#000000","dotted",163.924050632911,0.398015134218873,0.38891588949659,0.407114378941155,0.00277170531163658,FALSE,"1",1,"grey60",1.5,1,0
"66","#000000","dotted",166.329113924051,0.398603258688846,0.389619116325209,0.407587401052483,0.00273664417979802,FALSE,"1",1,"grey60",1.5,1,0
"67","#000000","dotted",168.73417721519,0.39913906159261,0.390261952648247,0.408016170536973,0.00270404091372717,FALSE,"1",1,"grey60",1.5,1,0
"68","#000000","dotted",171.139240506329,0.399623761158913,0.390837140938816,0.408410381379009,0.00267647729879564,FALSE,"1",1,"grey60",1.5,1,0
"69","#000000","dotted",173.544303797468,0.400058575616501,0.39133615595289,0.408780995280111,0.00265692127751551,FALSE,"1",1,"grey60",1.5,1,0
"70","#000000","dotted",175.949367088608,0.400444723194121,0.391749327379738,0.409140119008505,0.00264868958920186,FALSE,"1",1,"grey60",1.5,1,0
"71","#000000","dotted",178.354430379747,0.400783422120522,0.392066134958376,0.409500709282668,0.00265535787505674,FALSE,"1",1,"grey60",1.5,1,0
"72","#000000","dotted",180.759493670886,0.401075890624449,0.39227570183436,0.409876079414538,0.00268061039760409,FALSE,"1",1,"grey60",1.5,1,0
"73","#000000","dotted",183.164556962025,0.401323346934651,0.392367463730088,0.410279230139215,0.00272803620587303,FALSE,"1",1,"grey60",1.5,1,0
"74","#000000","dotted",185.569620253165,0.401527009279875,0.392331924820519,0.41072209373923,0.0028008988893916,FALSE,"1",1,"grey60",1.5,1,0
"75","#000000","dotted",187.974683544304,0.401688095888867,0.392161353751091,0.411214838026643,0.00290192456536581,FALSE,"1",1,"grey60",1.5,1,0
"76","#000000","dotted",190.379746835443,0.401807824990376,0.391850261936614,0.411765388044137,0.00303315618487322,FALSE,"1",1,"grey60",1.5,1,0
"77","#000000","dotted",192.784810126582,0.401887414813147,0.391395559928112,0.412379269698182,0.0031959059022293,FALSE,"1",1,"grey60",1.5,1,0
"78","#000000","dotted",195.189873417722,0.401928083585929,0.390796385380292,0.413059781791567,0.00339080747752019,FALSE,"1",1,"grey60",1.5,1,0
"79","#000000","dotted",197.594936708861,0.401931049537469,0.390053688219828,0.413808410855111,0.00361794263777937,FALSE,"1",1,"grey60",1.5,1,0
"80","#000000","dotted",200,0.401897530896514,0.389169703104284,0.414625358688744,0.0038770017703702,FALSE,"1",1,"grey60",1.5,1,0
"81","#666666","dotted",10,0.00412279195059728,0.00203863552947522,0.00620694837171935,0.00063485130898387,FALSE,"1",2,"grey60",1.5,1,0
"82","#666666","dotted",12.4050632911392,0.00389772266406815,0.00206910016506565,0.00572634516307066,0.000557013559713571,FALSE,"1",2,"grey60",1.5,1,0
"83","#666666","dotted",14.8101265822785,0.00369412239481903,0.00206055797129512,0.00532768681834294,0.000497597254252779,FALSE,"1",2,"grey60",1.5,1,0
"84","#666666","dotted",17.2151898734177,0.00351249168580076,0.00201028881478453,0.00501469455681699,0.000457583437288525,FALSE,"1",2,"grey60",1.5,1,0
"85","#666666","dotted",19.620253164557,0.00335333107996418,0.00192071666893818,0.00478594549099017,0.000436386215972866,FALSE,"1",2,"grey60",1.5,1,0
"86","#666666","dotted",22.0253164556962,0.00321837873530461,0.0018030691113678,0.00463368835924142,0.000431115034489596,FALSE,"1",2,"grey60",1.5,1,0
"87","#666666","dotted",24.4303797468354,0.00310912642487176,0.00167407138316779,0.00454418146657573,0.000437129652293171,FALSE,"1",2,"grey60",1.5,1,0
"88","#666666","dotted",26.8354430379747,0.00302397334035413,0.00154587449213304,0.00450207218857522,0.000450241152291012,FALSE,"1",2,"grey60",1.5,1,0
"89","#666666","dotted",29.2405063291139,0.00296126621418514,0.00142790970233919,0.00449462272603109,0.000467073094331499,FALSE,"1",2,"grey60",1.5,1,0
"90","#666666","dotted",31.6455696202532,0.00291935177879821,0.00132672675989001,0.00451197679770641,0.000485126772504911,FALSE,"1",2,"grey60",1.5,1,0
"91","#666666","dotted",34.0506329113924,0.00289657676662674,0.0012465308711417,0.00454662266211179,0.000502617647128508,FALSE,"1",2,"grey60",1.5,1,0
"92","#666666","dotted",36.4556962025316,0.00289128791010417,0.00118985555830153,0.00459272026190681,0.000518270387357912,FALSE,"1",2,"grey60",1.5,1,0
"93","#666666","dotted",38.8607594936709,0.0029018319416639,0.00115807920459759,0.00464558467873021,0.000531161527249839,FALSE,"1",2,"grey60",1.5,1,0
"94","#666666","dotted",41.2658227848101,0.00293224891117068,0.00116184153364497,0.0047026562886964,0.000539280751514703,FALSE,"1",2,"grey60",1.5,1,0
"95","#666666","dotted",43.6708860759494,0.00300842518434115,0.00124605411344808,0.00477079625523423,0.000536832825949511,FALSE,"1",2,"grey60",1.5,1,0
"96","#666666","dotted",46.0759493670886,0.00312523390684891,0.00139236128337408,0.00485810653032374,0.000527847354529673,FALSE,"1",2,"grey60",1.5,1,0
"97","#666666","dotted",48.4810126582278,0.00327262253696798,0.00157234187392032,0.00497290320001565,0.000517919573423686,FALSE,"1",2,"grey60",1.5,1,0
