"","colour","linetype","x","y","ymin","ymax","se","flipped_aes","PANEL","group","fill","linewidth","weight","alpha"
"1","#000000","dotted",10,0.341286908329617,0.210679809482866,0.471894007176368,0.0397840041299806,FALSE,"1",1,"grey60",1.5,1,0
"2","#000000","dotted",12.4050632911392,0.384134999612893,0.269541355364238,0.498728643861549,0.0349061732196301,FALSE,"1",1,"grey60",1.5,1,0
"3","#000000","dotted",14.8101265822785,0.424697656681579,0.32232764837824,0.527067664984919,0.0311827524620612,FALSE,"1",1,"grey60",1.5,1,0
"4","#000000","dotted",17.2151898734177,0.462993925886805,0.368855905882979,0.55713194589063,0.0286752206403026,FALSE,"1",1,"grey60",1.5,1,0
"5","#000000","dotted",19.620253164557,0.499042853579698,0.409265709170635,0.588819997988761,0.0273468618129166,FALSE,"1",1,"grey60",1.5,1,0
"6","#000000","dotted",22.0253164556962,0.532668647409934,0.443975936018937,0.621361358800932,0.0270165345332329,FALSE,"1",1,"grey60",1.5,1,0
"7","#000000","dotted",24.4303797468354,0.563635173221552,0.47370508266652,0.653565263776584,0.0273934504758347,FALSE,"1",1,"grey60",1.5,1,0
"8","#000000","dotted",26.8354430379747,0.592117744342288,0.499490242673797,0.68474524601078,0.0282151042437056,FALSE,"1",1,"grey60",1.5,1,0
"9","#000000","dotted",29.2405063291139,0.618299204496484,0.522208890218559,0.714389518774408,0.0292699056470864,FALSE,"1",1,"grey60",1.5,1,0
"10","#000000","dotted",31.6455696202532,0.642362397408478,0.542557924403345,0.742166870413612,0.0304012691598465,FALSE,"1",1,"grey60",1.5,1,0
"11","#000000","dotted",34.0506329113924,0.664490166802612,0.56108731988133,0.767893013723894,0.0314973636601098,FALSE,"1",1,"grey60",1.5,1,0
"12","#000000","dotted",36.4556962025316,0.684865356403224,0.578242292461934,0.791488420344514,0.0324782684375275,FALSE,"1",1,"grey60",1.5,1,0
"13","#000000","dotted",38.8607594936709,0.703670809934656,0.594395669265656,0.812945950603656,0.0332861129759934,FALSE,"1",1,"grey60",1.5,1,0
"14","#000000","dotted",41.2658227848101,0.720586060731803,0.609640563065639,0.831531558397966,0.0337949175529306,FALSE,"1",1,"grey60",1.5,1,0
"15","#000000","dotted",43.6708860759494,0.733346612551415,0.622904723292036,0.843788501810794,0.0336415142608253,FALSE,"1",1,"grey60",1.5,1,0
"16","#000000","dotted",46.0759493670886,0.742410816601251,0.633817496191472,0.851004137011031,0.0330784248775037,FALSE,"1",1,"grey60",1.5,1,0
"17","#000000","dotted",48.4810126582278,0.748671246655988,0.642120355189632,0.855222138122344,0.0324562841038566,FALSE,"1",1,"grey60",1.5,1,0
"18","#000000","dotted",50.8860759493671,0.753020476490299,0.64777638890956,0.858264564071038,0.0320582208160144,FALSE,"1",1,"grey60",1.5,1,0
"19","#000000","dotted",53.2911392405063,0.75635107987886,0.651233708887673,0.861468450870048,0.0320196218932409,FALSE,"1",1,"grey60",1.5,1,0
