"","j","median.effect","median.effect.l","median.effect.u","ctt.pval","cwt.pval","gtt.pval","ctt.pval.BH.adj","cwt.pval.BH.adj","gtt.pval.BH.adj"
" g__Streptococcus",-0.5,-0.701164550545477,-3.08885955836246,-1.63002505667577,2.36922663975265e-05,7.11652562812771e-05,1.18462157217405e-05,0.000450153061553003,0.00135213986934427,0.000225078098713069
" g__Haemophilus",-0.5,-0.584341310533298,-2.97203631835028,-1.51320181666359,1.77690449359373e-07,2.94972191656427e-07,8.88452477424718e-08,6.75223707565618e-06,1.12089432829442e-05,3.37611941421393e-06
" g__Neisseria",-0.5,-0.540363044277951,-2.92805805209493,-1.46922355040824,0.296359691288439,0.112215220905809,0.171538726121672,0.873801048588668,0.467769321451075,0.50675271212448
" g__Veillonella",-0.5,0.522333841907782,-1.8653611659092,-0.406526664222508,0.276927297628788,0.269492311149928,0.138473044541406,0.909229782472928,0.878161916617645,0.475911627173304
" g__Porphyromonas",-0.5,0.000703839857359334,-2.38699116795962,-0.928156666272931,0.0773017694986078,0.0840952581866795,0.0386778087184799,0.419455801758276,0.402817717312813,0.212789577434261
" g__Prevotella",-0.5,0.428893741642736,-1.95880126617424,-0.499966764487554,0.441259242528445,0.503739701197039,0.222960379031537,0.994971677419628,0.99998183183118,0.584921177395259
" g__Fusobacterium",-0.5,0.970366686050552,-1.41732832176643,0.0415061799202621,0.995537841202767,1,0.551397316725986,1,1,0.893205726120529
" g__Aggregatibacter",-0.5,0.156930564126776,-2.2307644436902,-0.771929942003514,0.626518329959567,0.523855273584953,0.405221153630224,0.991382202353424,0.998260405333218,0.758807517473801
" g__Abiotrophia",-0.5,-0.57243104628796,-2.96012605410494,-1.50129155241825,0.25074372543713,0.118213735387375,0.143137587113934,0.719634209671806,0.482052235556105,0.425559121597148
" g__Actinobacillus",-0.5,-2.03192544665762,-4.4196204544746,-2.96078595278791,0.0737040703458257,0.0134369927989166,0.042500045936998,0.371372837312627,0.10674956840546,0.206416535859418
" g__Rothia",-0.5,-0.143113343796251,-2.53080835161323,-1.07197384992654,0.0116423505626902,0.0177799795498236,0.00582145884141882,0.10319688499766,0.123159849719428,0.0516252697536621
" g__[Prevotella]",-0.5,-0.982825127244741,-3.37052013506172,-1.91168563337503,0.00137877914455023,0.00284445717152742,0.000689779649982985,0.0174645358309695,0.0356727218448545,0.00873720889978448
" g__Capnocytophaga",-0.5,0.93087537013137,-1.45681963768561,0.0020148640010802,0.943763023524639,0.960309117460977,0.500235783562503,1,1,0.860301784385109
" g__Leptotrichia",-0.5,1.38237736101139,-1.00531764680559,0.453516854881099,1,1,0.910051076421526,1,1,0.999242316983146
" g__Campylobacter",-0.5,1.58370113791274,-0.803993869904239,0.65484063178245,1,1,0.967104863481066,1,1,0.999716965787039
" g__Lautropia",-0.5,-0.563992456197397,-2.95168746401438,-1.49285296232769,0.132021867358821,0.113564856943678,0.0685555206351506,0.587704032470206,0.471245530176722,0.307132659361122
" g__Actinomyces",-0.5,0.657742158866891,-1.72995284895009,-0.271118347263399,0.412312615136036,0.484092898043139,0.206161387744549,0.964343989772919,0.986361961799966,0.559438459774293
" g__Oribacterium",-0.5,0.979915798294023,-1.40777920952296,0.0510552921637328,0.975989129028131,0.999985179110568,0.548994628083096,1,1,0.890594931346877
" g__Kingella",-0.5,1.07085833445809,-1.31683667335889,0.141997828327799,0.904359812703971,0.865308795800176,0.68558694889484,0.998627492131101,1,0.916432719199402
" g__Catonella",-0.5,0.569027094041394,-1.81866791377559,-0.359833412088897,0.633381490545318,0.702603802546278,0.350229707938846,0.973543924037184,0.995648336872464,0.701153115640172
" g__Selenomonas",-0.5,3.6589974561395,1.27130244832252,2.73013695000921,0.127158628672066,0.277432420259127,0.0649952298509051,0.999749596856903,1,0.985636708610822
" g__Dialister",-0.5,0.8285476378189,-1.55914736999808,-0.10031286831139,0.843489633666731,0.989932319146196,0.582089487526194,0.998311595146226,1,0.874939135087367
" g__Moryella",-0.5,1.47941785910013,-0.908277148716847,0.550557352969842,0.985962430137802,1,0.797943924620491,1,1,0.969464674382434
" g__Parvimonas",-0.5,-0.183796007536117,-2.5714910153531,-1.11265651366641,0.42753214620157,0.536415969085267,0.256217521820836,0.887371656405037,0.970766282762782,0.584402898930295
" g__Tannerella",-0.5,1.20532753791231,-1.18236746990467,0.27646703178202,0.950073254323312,0.933698762613101,0.698904954763364,0.999562934554962,0.999581930992479,0.929517750146774
" g__Mogibacterium",-0.5,-0.0570095979272525,-2.44470460574423,-0.985870104057543,0.451489020394835,0.420220127690408,0.270316206073712,0.884509576220978,0.889876615946615,0.595410770823166
" g__Bulleidia",-0.5,0.533416108619694,-1.85427889919729,-0.395444397510597,0.671436320270427,0.836342376323407,0.400425304424752,0.978580047747305,0.99826579917737,0.737609840967476
" g__Atopobium",-0.5,1.5567902395328,-0.830904768284184,0.627929733402506,0.98969445741154,0.999925995689196,0.820947330602569,1,1,0.97804776974922
" g__Peptostreptococcus",-0.5,1.50426034402845,-0.883434663788529,0.57539983789816,0.986980317767737,0.999985179110568,0.807474688350653,1,1,0.973989666273463
" g__Corynebacterium",-0.5,0.563005154198567,-1.82468985361841,-0.365855351931723,0.617261041435164,0.628811297540417,0.31863722761072,0.995841927383658,0.997918606044723,0.692468398620186
" g__Mycoplasma",-0.5,1.19319184320865,-1.19450316460833,0.264331337078363,0.858181877599055,0.883600025677098,0.665989356915385,0.985598321230124,0.992544293755639,0.88334515094238
" g__Treponema",-0.5,1.70803521840424,-0.679659789412739,0.77917471227395,0.972026782378131,0.991448023449908,0.809125133748991,1,1,0.974978179387297
" g__Cardiobacterium",-0.5,2.43407468827097,0.0463796804539931,1.50521418214068,0.853870677102496,0.999807411421291,0.59766938814178,1,1,0.986617259896076
" g__Shuttleworthia",-0.5,0.624466576699969,-1.76322843111701,-0.304393929430322,0.744494689315537,0.77676459242332,0.527662026696075,0.976805149801336,0.99159072982438,0.809401644603685
" g__Schwartzia",-0.5,3.79128453294602,1.40358952512904,2.86242402681573,0.306123269315174,0.260719516991729,0.178761597884352,0.974540112991537,0.978963705180933,0.936229249039458
" g__TG5",-0.5,1.60144476909958,-0.786250238717402,0.672584262969288,0.943380387366603,0.969547629803727,0.781963497615216,0.9986249698415,0.999839180915551,0.950082090956984
" g__Lachnoanaerobaculum",-0.5,1.35765326165397,-1.03004174616301,0.428792755523676,0.959271126530525,0.99852940267108,0.752322181572327,0.999506291802426,1,0.950066620672627
"other",-0.5,0.0801681287948144,-2.30752687902217,-0.848692377335476,0.0158914400196675,0.017907592460303,0.0079457704597589,0.122051360436921,0.124066241777759,0.061100815561821
" g__Streptococcus",-0.49,-0.701457441564122,-3.0791524493811,-1.62031794769441,2.59074300409619e-05,7.50282736723452e-05,1.29538041980466e-05,0.000492241170778276,0.00142553719977456,0.000246122279762885
" g__Haemophilus",-0.49,-0.584469323945877,-2.96216433176286,-1.50332983007617,1.98229066871799e-07,3.29117374799068e-07,9.91145581780571e-08,7.53270454112837e-06,1.25064602423646e-05,3.76635321076617e-06
" g__Neisseria",-0.49,-0.560732631052948,-2.93842763886993,-1.47959313718324,0.296314582307353,0.11525875003841,0.171752505023521,0.886371305563874,0.479866489188675,0.516132074334806
" g__Veillonella",-0.49,0.52204133211373,-1.85565367570325,-0.396819174016561,0.288901617609249,0.284906954711998,0.144460962410654,0.930743735970173,0.910438844141155,0.491187832184494
" g__Porphyromonas",-0.49,0.00198644375144452,-2.37570856406553,-0.916874062378846,0.0807885594474137,0.0857784345584789,0.0404229624844094,0.435949454259385,0.411960088887607,0.221148319811111
" g__Prevotella",-0.49,0.426821005657477,-1.9508740021595,-0.492039500472813,0.449186081228969,0.516614726689054,0.227013353611376,0.996160109571702,0.99998183183118,0.594993695935119
" g__Fusobacterium",-0.49,0.971817226133556,-1.40587778168342,0.0529567200032655,0.997433902909277,1,0.56463820087919,1,1,0.906917295095838
" g__Aggregatibacter",-0.49,0.156559356237238,-2.22113565157974,-0.762301149893052,0.632589101352325,0.531765662965648,0.410318927004809,0.991344926951839,0.997847024186469,0.76898712590131
" g__Abiotrophia",-0.49,-0.60145507834244,-2.97915008615942,-1.52031558447273,0.249009809164761,0.11987530954387,0.142633770885953,0.71897828315215,0.491385572738702,0.42530907069573
" g__Actinobacillus",-0.49,-2.02531054503652,-4.4030055528535,-2.94417105116681,0.0776822583887032,0.0134759633532546,0.0450938872314827,0.384184487395597,0.109338498375583,0.213876922510084
" g__Rothia",-0.49,-0.140969475269149,-2.51866448308613,-1.05982998139944,0.0124499145958964,0.0184903672003008,0.00622525604670845,0.109869122947358,0.128769269470563,0.0549736521160923
" g__[Prevotella]",-0.49,-0.982602845949561,-3.36029785376654,-1.90146335207985,0.00146043198569077,0.00294615790077597,0.000730626286654245,0.018498805152083,0.0370865368074976,0.00925459963095376
" g__Capnocytophaga",-0.49,0.928876525390708,-1.44881848242627,0.010016019260418,0.948881098814869,0.963631998751448,0.507025845424538,1,1,0.873943721745383
" g__Leptotrichia",-0.49,1.38038509334813,-0.997309914468853,0.461524587217836,1,1,0.913984123667432,1,1,0.999560698306348
" g__Campylobacter",-0.49,1.58166172156097,-0.796033286256006,0.662801215430683,1,1,0.969324364272504,1,1,0.999876462890463
" g__Lautropia",-0.49,-0.561225593387923,-2.9389206012049,-1.48008609951821,0.134184801860064,0.117242394139659,0.0697451761010741,0.599296564774676,0.485018615933962,0.313535519636265
" g__Actinomyces",-0.49,0.654102871002372,-1.72359213681461,-0.264757635127918,0.426263325095631,0.499274316538591,0.213137250190348,0.969690643768812,0.985215508539646,0.573315320095359
