"","colour","linetype","x","y","ymin","ymax","se","flipped_aes","PANEL","group","fill","linewidth","weight","alpha"
"1","#000000","dotted",14,0.01636099257871,NA,0.0328049101738479,0.00657766680524082,FALSE,"1",1,"grey60",1.5,1,0
"2","#000000","dotted",17.620253164557,0.0358005757703854,0.0212089842220586,0.0503921673187122,0.00583672514823598,FALSE,"1",1,"grey60",1.5,1,0
"3","#000000","dotted",21.2405063291139,0.054769728826372,0.0417343070059251,0.0678051506468189,0.00521424781561891,FALSE,"1",1,"grey60",1.5,1,0
"4","#000000","dotted",24.8607594936709,0.0732716691298647,0.0614701274631898,0.0850732107965395,0.00472068826801381,FALSE,"1",1,"grey60",1.5,1,0
"5","#000000","dotted",28.4810126582278,0.091309614064058,0.0804078289266185,0.102211399201497,0.00436078019739077,FALSE,"1",1,"grey60",1.5,1,0
"6","#000000","dotted",32.1012658227848,0.108888080925175,0.0985651745928816,0.119210987257468,0.00412922516320629,FALSE,"1",1,"grey60",1.5,1,0
"7","#000000","dotted",35.7215189873418,0.1260105280153,0.11598823857087,0.13603281745973,0.00400897658418305,FALSE,"1",1,"grey60",1.5,1,0
"8","#000000","dotted",39.3417721518987,0.142668034471314,0.132721517897311,0.152614551045317,0.00397866697628912,FALSE,"1",1,"grey60",1.5,1,0
"9","#000000","dotted",42.9620253164557,0.15885061268006,0.148809738601064,0.168891486759057,0.00401641055076468,FALSE,"1",1,"grey60",1.5,1,0
"10","#000000","dotted",46.5822784810127,0.174548275028384,0.164292918517467,0.184803631539302,0.00410220482482333,FALSE,"1",1,"grey60",1.5,1,0
"11","#000000","dotted",50.2025316455696,0.189751189295978,0.179202876989095,0.200299501602861,0.0042193889206068,FALSE,"1",1,"grey60",1.5,1,0
"12","#000000","dotted",53.8227848101266,0.204500887306975,0.193664524854196,0.215337249759754,0.00433461072659933,FALSE,"1",1,"grey60",1.5,1,0
"13","#000000","dotted",57.4430379746835,0.218816166150041,0.2077438449678,0.229888487332282,0.00442899564997376,FALSE,"1",1,"grey60",1.5,1,0
"14","#000000","dotted",61.0632911392405,0.232668874299846,0.221399419408903,0.243938329190789,0.00450785032948797,FALSE,"1",1,"grey60",1.5,1,0
"15","#000000","dotted",64.6835443037975,0.246030860231058,0.234589676619788,0.257472043842328,0.00457654285951709,FALSE,"1",1,"grey60",1.5,1,0
"16","#000000","dotted",68.3037974683544,0.258873972418348,0.247280369387586,0.270467575449109,0.00463751155206044,FALSE,"1",1,"grey60",1.5,1,0
"17","#000000","dotted",71.9240506329114,0.271186425251928,0.259491282070611,0.282881568433245,0.0046781282283386,FALSE,"1",1,"grey60",1.5,1,0
"18","#000000","dotted",75.5443037974684,0.283033545002366,0.27140645510224,0.294660634902491,0.00465090650297458,FALSE,"1",1,"grey60",1.5,1,0
"19","#000000","dotted",79.1645569620253,0.294416365980223,0.28292698941143,0.305905742549015,0.00459582033491849,FALSE,"1",1,"grey60",1.5,1,0
"20","#000000","dotted",82.7848101265823,0.305323828550486,0.293916560829621,0.316731096271352,0.00456297629758372,FALSE,"1",1,"grey60",1.5,1,0
"21","#000000","dotted",86.4050632911392,0.315744873078143,0.304281286781776,0.327208459374509,0.0045855040694755,FALSE,"1",1,"grey60",1.5,1,0
"22","#000000","dotted",90.0253164556962,0.325668439928178,0.313999349721959,0.337337530134398,0.00466770688023313,FALSE,"1",1,"grey60",1.5,1,0
"23","#000000","dotted",93.6455696202532,0.33508346946558,0.323124886225576,0.347042052705583,0.00478350585013492,FALSE,"1",1,"grey60",1.5,1,0
"24","#000000","dotted",97.2658227848101,0.343978902055333,0.331764648996058,0.356193155114608,0.0048857753290225,FALSE,"1",1,"grey60",1.5,1,0
"25","#000000","dotted",100.886075949367,0.352325469634483,0.340021542436044,0.364629396832921,0.00492164552875144,FALSE,"1",1,"grey60",1.5,1,0
"26","#000000","dotted",104.506329113924,0.359765827927843,0.347535345593386,0.3719963102623,0.00489226713756019,FALSE,"1",1,"grey60",1.5,1,0
"27","#000000","dotted",108.126582278481,0.366360990196341,0.354214872424536,0.378507107968146,0.00485852080064972,FALSE,"1",1,"grey60",1.5,1,0
"28","#000000","dotted",111.746835443038,0.372371128515277,0.360218924553342,0.384523332477211,0.00486095531362714,FALSE,"1",1,"grey60",1.5,1,0
"29","#000000","dotted",115.367088607595,0.37805641495995,0.365817742913449,0.390295087006452,0.00489554307206604,FALSE,"1",1,"grey60",1.5,1,0
"30","#000000","dotted",118.987341772152,0.383677021605662,0.371389454632474,0.395964588578851,0.00491510133939198,FALSE,"1",1,"grey60",1.5,1,0
"31","#000000","dotted",122.607594936709,0.389219482780588,0.377059046258718,0.401379919302458,0.00486424838754915,FALSE,"1",1,"grey60",1.5,1,0
"32","#000000","dotted",126.227848101266,0.394128219562484,0.382219845422934,0.406036593702034,0.004763421905329,FALSE,"1",1,"grey60",1.5,1,0
"33","#000000","dotted",129.848101265823,0.398470505352923,0.38680691413638,0.410134096569467,0.00466550725099959,FALSE,"1",1,"grey60",1.5,1,0
"34","#000000","dotted",133.46835443038,0.402352878857754,0.390818232040204,0.413887525675304,0.00461392870908154,FALSE,"1",1,"grey60",1.5,1,0
"35","#000000","dotted",137.088607594937,0.405881878782823,0.394311775039164,0.417451982526483,0.0046281116946464,FALSE,"1",1,"grey60",1.5,1,0
"36","#000000","dotted",140.708860759494,0.409164043833979,0.397424348309813,0.420903739358146,0.0046959494357827,FALSE,"1",1,"grey60",1.5,1,0
"37","#000000","dotted",144.329113924051,0.412305912717069,0.400360673082855,0.424251152351283,0.00477816832686212,FALSE,"1",1,"grey60",1.5,1,0
"38","#000000","dotted",147.949367088608,0.415414024137941,0.403359906423764,0.427468141852117,0.00482172021942313,FALSE,"1",1,"grey60",1.5,1,0
"39","#000000","dotted",151.569620253165,0.418512114992477,0.406578911017132,0.430445318967822,0.00477335399029258,FALSE,"1",1,"grey60",1.5,1,0
"40","#000000","dotted",155.189873417722,0.421091070689743,0.409523188908786,0.432658952470699,0.00462722289608442,FALSE,"1",1,"grey60",1.5,1,0
"41","#000000","dotted",158.810126582278,0.423229906438811,0.412018230132546,0.434441582745075,0.00448473854506692,FALSE,"1",1,"grey60",1.5,1,0
"42","#000000","dotted",162.430379746835,0.425155394306213,0.414099927517489,0.436210861094938,0.00442225379030952,FALSE,"1",1,"grey60",1.5,1,0
"43","#000000","dotted",166.050632911392,0.427094306358484,0.415986317932531,0.438202294784437,0.00444326276385575,FALSE,"1",1,"grey60",1.5,1,0
"44","#000000","dotted",169.670886075949,0.429273414662155,0.418055814776541,0.440491014547769,0.00448710801274585,FALSE,"1",1,"grey60",1.5,1,0
"45","#000000","dotted",173.291139240506,0.431498830155425,0.420252887407149,0.442744772903701,0.00449844532977018,FALSE,"1",1,"grey60",1.5,1,0
"46","#000000","dotted",176.911392405063,0.433319913762152,0.422095260604765,0.44454456691954,0.00448992936424821,FALSE,"1",1,"grey60",1.5,1,0
"47","#000000","dotted",180.53164556962,0.43482067710539,0.423613601488985,0.446027752721795,0.00448289824121031,FALSE,"1",1,"grey60",1.5,1,0
"48","#000000","dotted",184.151898734177,0.436089147310739,0.424855836550959,0.44732245807052,0.00449339245773213,FALSE,"1",1,"grey60",1.5,1,0
"49","#000000","dotted",187.772151898734,0.437213351503802,0.425892399740388,0.448534303267216,0.00452844939091389,FALSE,"1",1,"grey60",1.5,1,0
"50","#000000","dotted",191.392405063291,0.43828131681018,0.426820161993779,0.449742471626581,0.00458453146273722,FALSE,"1",1,"grey60",1.5,1,0
"51","#000000","dotted",195.012658227848,0.439381070355475,0.427759651541927,0.451002489169022,0.00464863803393618,FALSE,"1",1,"grey60",1.5,1,0
"52","#000000","dotted",198.632911392405,0.440600639265288,0.42884663230363,0.452354646226946,0.00470167409760833,FALSE,"1",1,"grey60",1.5,1,0
