"","colour","linetype","x","y","ymin","ymax","se","flipped_aes","PANEL","group","fill","linewidth","weight","alpha"
"1","#000000","dotted",14,0.0331921541707477,0.0172866743870314,0.0490976339544641,0.00636228841390654,FALSE,"1",1,"grey60",1.5,1,0
"2","#000000","dotted",17.620253164557,0.0467503660846318,0.032636559989375,0.0608641721798886,0.00564560806822734,FALSE,"1",1,"grey60",1.5,1,0
"3","#000000","dotted",21.2405063291139,0.060062728163187,0.0474541367470735,0.0726713195793004,0.00504351306425518,FALSE,"1",1,"grey60",1.5,1,0
"4","#000000","dotted",24.8607594936709,0.0731243925347363,0.0617092792376784,0.0845395058317941,0.00456611457566057,FALSE,"1",1,"grey60",1.5,1,0
"5","#000000","dotted",28.4810126582278,0.0859305113276025,0.0753856930319166,0.0964753296232884,0.00421799129492948,FALSE,"1",1,"grey60",1.5,1,0
"6","#000000","dotted",32.1012658227848,0.0984744236121997,0.0884895293783566,0.108459317846043,0.0039940182730671,FALSE,"1",1,"grey60",1.5,1,0
"7","#000000","dotted",35.7215189873418,0.110750681059022,0.101056560347053,0.120444801770991,0.00387770710016021,FALSE,"1",1,"grey60",1.5,1,0
"8","#000000","dotted",39.3417721518987,0.12277074907023,0.113149920130235,0.132391578010225,0.00384838994670087,FALSE,"1",1,"grey60",1.5,1,0
"9","#000000","dotted",42.9620253164557,0.134547562262797,0.124835465449472,0.144259659076122,0.00388489764976573,FALSE,"1",1,"grey60",1.5,1,0
"10","#000000","dotted",46.5822784810127,0.146094055253695,0.136174498997378,0.156013611510011,0.00396788268564318,FALSE,"1",1,"grey60",1.5,1,0
"11","#000000","dotted",50.2025316455696,0.157422909364821,0.147219989824586,0.167625828905056,0.00408122971840916,FALSE,"1",1,"grey60",1.5,1,0
"12","#000000","dotted",53.8227848101266,0.168464317010347,0.157982779206201,0.178945854814493,0.00419267871438317,FALSE,"1",1,"grey60",1.5,1,0
"13","#000000","dotted",57.4430379746835,0.179189956164366,0.168480185837189,0.189899726491543,0.00428397310830931,FALSE,"1",1,"grey60",1.5,1,0
"14","#000000","dotted",61.0632911392405,0.189649020455186,0.178748571343571,0.200549469566802,0.00436024577895536,FALSE,"1",1,"grey60",1.5,1,0
"15","#000000","dotted",64.6835443037975,0.199890703511114,0.188824148745317,0.21095725827691,0.00442668904841042,FALSE,"1",1,"grey60",1.5,1,0
"16","#000000","dotted",68.3037974683544,0.209964198960455,0.19875021557971,0.2211781823412,0.0044856613888565,FALSE,"1",1,"grey60",1.5,1,0
"17","#000000","dotted",71.9240506329114,0.219877982388552,0.208565783676665,0.23119018110044,0.00452494811719763,FALSE,"1",1,"grey60",1.5,1,0
"18","#000000","dotted",75.5443037974684,0.229464233010579,0.218217859250802,0.240710606770356,0.0044986177369856,FALSE,"1",1,"grey60",1.5,1,0
"19","#000000","dotted",79.1645569620253,0.238737870927849,0.227624701229378,0.249851040626319,0.00444533530429829,FALSE,"1",1,"grey60",1.5,1,0
"20","#000000","dotted",82.7848101265823,0.247745361738647,0.236711612325106,0.258779111152188,0.00441356670847425,FALSE,"1",1,"grey60",1.5,1,0
"21","#000000","dotted",86.4050632911392,0.256533171041257,0.245444947141396,0.267621394941118,0.0044353568335052,FALSE,"1",1,"grey60",1.5,1,0
"22","#000000","dotted",90.0253164556962,0.265147764433964,0.25386076562145,0.276434763246477,0.00451486800455709,FALSE,"1",1,"grey60",1.5,1,0
"23","#000000","dotted",93.6455696202532,0.273635607515051,0.2620685947965,0.285202620233601,0.00462687526584942,FALSE,"1",1,"grey60",1.5,1,0
"24","#000000","dotted",97.2658227848101,0.282043165882803,0.270228854969147,0.293857476796458,0.00472579604427868,FALSE,"1",1,"grey60",1.5,1,0
"25","#000000","dotted",100.886075949367,0.290420605437072,0.278519556664306,0.302321654209837,0.00476049171417155,FALSE,"1",1,"grey60",1.5,1,0
"26","#000000","dotted",104.506329113924,0.298856574756147,0.287026565976893,0.3106865835354,0.00473207528575861,FALSE,"1",1,"grey60",1.5,1,0
"27","#000000","dotted",108.126582278481,0.307284111410586,0.295535704770115,0.319032518051058,0.00469943393515596,FALSE,"1",1,"grey60",1.5,1,0
"28","#000000","dotted",111.746835443038,0.315585402827299,0.303831109282232,0.327339696372366,0.00470178873271084,FALSE,"1",1,"grey60",1.5,1,0
