"","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"1/2-SBSRNA4",-11.4942625882707,-10.9397861937607,-12.9181207728178,-1.81418377005358,1.40430288246403,-1.18554591208457,0.0925086715433427,8.83637655665037e-09,1.65634527849484e-08,1.07882822420528e-08,1.89534594016815e-08
"A1BG",-10.2509666102808,-10.0807199849583,-10.8552126090696,-0.590241542912197,1.61723542854514,-0.323974352294365,0.355200000936627,0.0941719877535916,0.110442211833512,0.0583237839606169,0.0686822107766739
"A1BG-AS1",-12.2943846078729,-12.0308500873206,-12.7147691525157,-0.753183668554104,1.35978323413727,-0.515481937656939,0.28765662643443,0.00578367263878047,0.00722376054803282,0.00708290713610252,0.00872458847553482
"A1CF",-6.10515827289214,-5.26905571941322,-6.91897083780552,-1.50380984854386,4.57687125957743,-0.294796911982154,0.322933334533078,0.0881611417018792,0.103680605946193,0.0168136580731943,0.0204746076264369
"A2LD1",-7.73195593809987,-5.77912859913796,-9.86247788093612,-3.86025749196166,1.8531845699602,-1.99929316132053,0.0141333849921632,4.19084642959606e-17,1.49611593610557e-15,5.13276242107264e-15,4.84867375684007e-14
"A2M",-0.724712019604934,-0.0123292473026186,-1.31277172747212,-1.33031704948693,1.46115114168011,-0.861562410301364,0.168533336837667,2.87954268164303e-06,4.42701599203705e-06,4.74072442867638e-06,7.08670878535761e-06
"A2ML1",-14.3336040418682,-13.7461075830726,-15.2731529018559,-1.50268157312009,2.23923999465252,-0.571783658182023,0.241002401456688,0.00156481423638431,0.00200094898822085,0.000920304247761279,0.00118474014174558
"A2MP1",-14.1116225614089,-13.9448888865504,-14.3574741754244,-0.379891184477847,2.14773469327926,-0.171975808884936,0.422933333801138,0.430695676164249,0.477047496134647,0.356233199607081,0.396535148628883
"A4GALT",-5.56941943486752,-5.33918242725599,-6.15563476137755,-0.884011939953885,1.12950328587609,-0.754468715916038,0.216742204550022,2.85911903011969e-05,4.11741510848376e-05,0.000124033904220567,0.000170575705431224
"A4GNT",-12.804461685596,-12.6900006019997,-13.1334044500159,-0.645166886513865,2.87998159378552,-0.206371582983713,0.416266667177181,0.227280473906646,0.259310601141027,0.258529862339637,0.292224841708232
"AAA1",-14.2144646965239,-9.54756291953842,-16.7570441821112,-6.68228595769808,4.10558550289292,-1.5850810052567,0.0634497576119172,8.66439228113952e-10,1.55516914731218e-09,8.18799752205538e-11,1.83025000796756e-10
"AAAS",-6.08870668019421,-5.63238355298219,-6.97702806066123,-1.31773351667791,0.620177251057602,-1.95949951127795,0.00933341194821349,2.39843256498206e-14,2.21326864450608e-13,3.62928608312541e-15,3.68663135264415e-14
"AACS",-5.88461683600912,-5.27523496856427,-7.52290742648135,-2.28790236431553,0.824181632902436,-2.65793955632919,0.0146628063378273,7.24901267886688e-19,6.87708304174428e-17,4.90845181472724e-15,4.68396549251509e-14
"AACSP1",-11.5483011764823,-11.432476740912,-11.9182664235017,-0.442602902256036,2.16764106716245,-0.174505395119588,0.420687817064117,0.282287812262433,0.320315956009716,0.280217063007098,0.316063378735572
"AADAT",-8.82697094396928,-7.79929973504977,-10.108661999604,-2.2702705519002,0.968993778685427,-2.24467728743763,0.0101334056824883,4.33645641280708e-16,8.76341508991813e-15,1.68801172217832e-15,2.12438187289754e-14
"AAGAB",-5.35349735226344,-4.59928918292372,-7.1128779918238,-2.51252161378871,0.96987949930089,-2.53584130444966,0.00640011498752223,8.10718913622068e-16,1.52185896588466e-14,8.48064557223276e-16,1.3418841062705e-14
"AAK1",-5.01468182624125,-3.90738949752057,-6.31172513806298,-2.33444837665969,1.10876466775317,-2.0254769459127,0.0312000229770289,6.34450632393525e-15,7.68224029223636e-14,2.85430037914493e-13,1.21819074132195e-12
"AAMP",-4.12825462394247,-3.65421101227669,-5.37397741249019,-1.72376918948166,0.755137654572278,-2.15444033842383,0.0170621594064683,3.41224137209833e-14,2.97005724353392e-13,1.47633718979713e-14,1.07521284552026e-13
"AANAT",-14.2315355462349,-14.3067431163415,-14.1494352284844,0.200170639012897,2.07399238474673,0.0900020129768693,0.459466666908453,0.329657415728126,0.998011902093637,0.570692724740285,0.990488024409835
"AARS",-3.68576678428589,-3.06456009352445,-4.8454288327214,-1.78761894112873,0.826499846716568,-2.08207883634351,0.00986411056223952,7.61974605086283e-14,5.6808665719478e-13,2.00729581806202e-15,2.44911759029678e-14
"AARS2",-6.42390344522624,-5.97884833821849,-7.33713814623432,-1.31581315681726,0.94967448336962,-1.32019832716498,0.0594508247824327,6.96583185823957e-10,1.56736422659439e-09,4.26226323832672e-11,1.04490584835194e-10
"AARSD1",-6.56278370697682,-6.20237905956462,-7.37319096283467,-1.20325761547159,0.72663224522643,-1.62857478656854,0.0186617291331704,1.18310217330614e-11,4.00149395326573e-11,1.36797000301626e-14,9.72881961792559e-14
"AASDH",-7.12972651490889,-6.56275182333953,-8.60286497958183,-2.14427324616755,1.11159336249228,-1.87642995620103,0.0101334056824883,3.56134227493788e-13,2.02195050055841e-12,2.13385949251083e-15,2.48732980916111e-14
"AASDHPPT",-5.15033747535436,-4.66399331748271,-6.34907003883158,-1.68771867253857,1.14913597004956,-1.48130341337197,0.0599840158203193,5.77900740595292e-11,1.63484315445967e-10,2.26004070925843e-11,5.84445043963673e-11
"AASS",-6.45477413408846,-5.2382207465384,-7.79668240038209,-2.54789440187906,1.32129223467093,-1.78556729867657,0.0346574452816021,2.14561422877327e-14,2.04055551739997e-13,6.67822326472988e-13,2.50593228485858e-12
"AATF",-5.41748096178673,-4.98833961336884,-6.09743735317455,-1.13147337921953,0.749605543086896,-1.39982917708393,0.0594508247824327,2.27335341725743e-10,5.61060800659032e-10,5.48747540314152e-11,1.32600268098036e-10
"AATK",-9.67989968868986,-9.49868908698,-10.0376128995823,-0.432387117605969,1.32468220445082,-0.280483822229185,0.38816315718887,0.351513788430198,0.396220255741473,0.133390931529037,0.153735799344121
