"","median.effect","median.effect.l","median.effect.u","ctt.pval","cwt.pval","gtt.pval","ctt.pval.BH.adj","cwt.pval.BH.adj","gtt.pval.BH.adj"
"1/2-SBSRNA4",-1.79797097256954,-1.79797097256954,0.702029027430464,1,1,0.995750766642612,1,1,1
"A1BG",-0.512833539559655,-0.512833539559655,1.98716646044034,1,1,0.95320504343174,1,1,1
"A1BG-AS1",-0.731792242209193,-0.731792242209193,1.76820775779081,1,1,0.997692065733243,1,1,1
"A1CF",-1.40871262122272,-1.40871262122272,1.09128737877728,1,1,0.952057462481435,1,1,1
"A2LD1",-3.84362610267187,-3.84362610267187,-1.34362610267187,8.67564971198717e-05,0.000211052229908466,4.33782485599449e-05,0.00236798865065731,0.00505880785094511,0.00118399510182742
"A2M",-1.38743743223067,-1.38743743223067,1.11256256776933,1,1,0.999958553951778,1,1,1
"A2ML1",-1.65694817442609,-1.65694817442609,0.843051825573914,1,1,0.942344752072288,1,1,1
"A2MP1",-0.333865006075955,-0.333865006075955,2.16613499392404,0.99726920310277,0.998806358869195,0.794963314991973,1,1,1
"A4GALT",-0.88102064102823,-0.88102064102823,1.61897935897177,1,1,0.999986304961657,1,1,1
"A4GNT",-0.649189067032963,-0.649189067032963,1.85081093296704,1,1,0.887191026798732,1,1,1
"AAA1",-6.57663452747137,-6.57663452747137,-4.07663452747137,2.70515573161102e-06,1.69569673020664e-06,1.35261239235496e-06,0.000100093617388378,6.58911565160997e-05,5.00477974576989e-05
"AAAS",-1.2939989050621,-1.2939989050621,1.2060010949379,1,1,0.999999999999998,1,1,1
"AACS",-2.27858257279666,-2.27858257279666,0.221417427203345,1,1,0.919650388058649,1,1,1
"AACSP1",-0.448039168818385,-0.448039168818385,2.05196083118162,1,1,0.857866612124539,1,1,1
"AADAT",-2.29311663008844,-2.29311663008844,0.206883369911562,1,1,0.870731502611522,1,1,1
"AAGAB",-2.57703050609103,-2.57703050609103,-0.0770305060910337,0.687063802339895,0.884066925706957,0.343531901169947,1,1,1
"AAK1",-2.30132921462838,-2.30132921462838,0.198670785371619,1,1,0.833598239584687,1,1,1
"AAMP",-1.69214458760006,-1.69214458760006,0.80785541239994,1,1,0.999999811969254,1,1,1
"AANAT",0.428639890570465,0.428639890570465,2.92863989057046,0.314896931052883,0.548099848679044,0.157585677777955,0.99861413629985,0.999141043767682,0.991860067885355
"AARS",-1.83135894505878,-1.83135894505878,0.668641054941215,1,1,0.999961582978891,1,1,1
"AARS2",-1.35442584630148,-1.35442584630148,1.14557415369852,1,1,0.999999995674576,1,1,1
"AARSD1",-1.24715807444624,-1.24715807444624,1.25284192555376,1,1,0.999999999999967,1,1,1
"AASDH",-2.22522962507876,-2.22522962507876,0.27477037492124,1,1,0.903769109684927,1,1,1
"AASDHPPT",-1.77757883662075,-1.77757883662075,0.722421163379253,1,1,0.999580815261596,1,1,1
"AASS",-2.47030104121132,-2.47030104121132,0.029698958788682,1,0.905620803036374,0.548448878996569,1,1,1
"AATF",-1.13588401494156,-1.13588401494156,1.36411598505844,1,1,0.999999999990977,1,1,1
"AATK",-0.231513657696932,-0.231513657696932,2.26848634230307,1,1,0.821465598959159,1,1,1
"ABAT",-4.28382092477976,-4.28382092477976,-1.78382092477976,0.000125247659171766,0.000290041030723441,6.26238296106719e-05,0.00330038382024751,0.00675702006598627,0.00165019218977764
"ABCA1",-0.301800660019785,-0.301800660019785,2.19819933998021,1,1,0.871097337176326,1,1,1
"ABCA10",-1.48953339602175,-1.48953339602175,1.01046660397825,1,1,0.997459826155564,1,1,1
"ABCA11P",-2.10278717163449,-2.10278717163449,0.397212828365512,1,1,0.966904847685079,1,1,1
"ABCA12",0.406867390484434,0.406867390484434,2.90686739048443,0.348829232519927,0.142922241094192,0.174414620744644,1,1,1
"ABCA13",-5.02942566707187,-5.02942566707187,-2.52942566707187,5.23677589682675e-05,3.15766950709312e-05,2.61838824885158e-05,0.00148734395824532,0.000905636660820377,0.000743672130119516
"ABCA17P",-0.0425507697719656,-0.0425507697719656,2.45744923022803,0.968142515351313,0.998527812806464,0.562234225171423,1,1,1
"ABCA2",-1.64925366742784,-1.64925366742784,0.850746332572159,1,1,0.999885815156515,1,1,1
"ABCA3",-1.10411184239499,-1.10411184239499,1.39588815760501,1,1,0.999995543426192,1,1,1
